Schema_Type,Name_Length,Name_Component_Length,Number_of_Publications,Schema_Size
Simplified,6,3,1,77
Simplified,6,3,2,98
Simplified,6,3,3,119
Simplified,6,3,4,140
Simplified,6,3,5,161
Simplified,6,3,6,182
Simplified,6,3,7,203
Simplified,6,3,8,224
Simplified,6,3,9,245
Simplified,6,3,10,268
Simplified,6,3,11,289
Simplified,6,3,12,316
Simplified,6,3,13,337
Simplified,6,3,14,352
Simplified,6,3,15,373
NC,6,3,1,50
NC,6,3,2,78
NC,6,3,3,106
NC,6,3,4,134
NC,6,3,5,162
NC,6,3,6,190
NC,6,3,7,218
NC,6,3,8,246
NC,6,3,9,276
NC,6,3,10,306
NC,6,3,11,334
NC,6,3,12,362
NC,6,3,13,390
NC,6,3,14,418
NC,6,3,15,446
Vans,6,4,1,118
Vans,6,4,2,166
Vans,6,4,3,214
Vans,6,4,4,264
Vans,6,4,5,312
Vans,6,4,6,360
Vans,6,4,7,408
Vans,6,4,8,456
Vans,6,4,9,504
Vans,6,4,10,552
Vans,6,4,11,600
Vans,6,4,12,648
Vans,6,4,13,696
Vans,6,4,14,744
Vans,6,4,15,792
Simplified,6,4,1,84
Simplified,6,4,2,107
Simplified,6,4,3,130
Simplified,6,4,4,153
Simplified,6,4,5,176
Simplified,6,4,6,199
Simplified,6,4,7,222
Simplified,6,4,8,245
Simplified,6,4,9,270
Simplified,6,4,10,293
Simplified,6,4,11,316
Simplified,6,4,12,339
Simplified,6,4,13,368
Simplified,6,4,14,385
Simplified,6,4,15,408
NC,6,4,1,56
NC,6,4,2,90
NC,6,4,3,124
NC,6,4,4,158
NC,6,4,5,192
NC,6,4,6,226
NC,6,4,7,262
NC,6,4,8,298
NC,6,4,9,332
NC,6,4,10,366
NC,6,4,11,400
NC,6,4,12,434
NC,6,4,13,468
NC,6,4,14,502
NC,6,4,15,536
Vans,6,5,1,125
Vans,6,5,2,175
Vans,6,5,3,225
Vans,6,5,4,277
Vans,6,5,5,327
Vans,6,5,6,377
Vans,6,5,7,427
Vans,6,5,8,477
Vans,6,5,9,527
Vans,6,5,10,577
Vans,6,5,11,627
Vans,6,5,12,677
Vans,6,5,13,727
Vans,6,5,14,777
Vans,6,5,15,827
Simplified,6,5,1,91
Simplified,6,5,2,116
Simplified,6,5,3,141
Simplified,6,5,4,166
Simplified,6,5,5,191
Simplified,6,5,6,216
Simplified,6,5,7,241
Simplified,6,5,8,268
Simplified,6,5,9,293
Simplified,6,5,10,318
Simplified,6,5,11,343
Simplified,6,5,12,368
Simplified,6,5,13,393
Simplified,6,5,14,418
Simplified,6,5,15,443
NC,6,5,1,62
NC,6,5,2,102
NC,6,5,3,142
NC,6,5,4,182
NC,6,5,5,222
NC,6,5,6,264
NC,6,5,7,306
NC,6,5,8,346
NC,6,5,9,386
NC,6,5,10,426
NC,6,5,11,466
NC,6,5,12,506
NC,6,5,13,546
NC,6,5,14,586
NC,6,5,15,626
Vans,6,6,1,132
Vans,6,6,2,184
Vans,6,6,3,236
Vans,6,6,4,290
Vans,6,6,5,342
Vans,6,6,6,394
Vans,6,6,7,446
Vans,6,6,8,498
Vans,6,6,9,550
Vans,6,6,10,602
Vans,6,6,11,654
Vans,6,6,12,706
Vans,6,6,13,758
Vans,6,6,14,810
Vans,6,6,15,862
Simplified,6,6,1,98
Simplified,6,6,2,125
Simplified,6,6,3,152
Simplified,6,6,4,179
Simplified,6,6,5,206
Simplified,6,6,6,233
Simplified,6,6,7,262
Simplified,6,6,8,289
Simplified,6,6,9,316
Simplified,6,6,10,343
Simplified,6,6,11,370
Simplified,6,6,12,397
Simplified,6,6,13,424
Simplified,6,6,14,451
Simplified,6,6,15,478
NC,6,6,1,68
NC,6,6,2,114
NC,6,6,3,160
NC,6,6,4,206
NC,6,6,5,252
NC,6,6,6,302
NC,6,6,7,348
NC,6,6,8,394
NC,6,6,9,440
NC,6,6,10,486
NC,6,6,11,532
NC,6,6,12,578
NC,6,6,13,624
NC,6,6,14,670
NC,6,6,15,716
Vans,7,2,1,110
Vans,7,2,2,156
Vans,7,2,3,200
Vans,7,2,4,248
Vans,7,2,5,296
Vans,7,2,6,348
Vans,7,2,7,386
Vans,7,2,8,434
Vans,7,2,9,476
Vans,7,2,10,528
Vans,7,2,11,572
Vans,7,2,12,616
Vans,7,2,13,664
Vans,7,2,14,710
Vans,7,2,15,766
Simplified,7,2,1,75
Simplified,7,2,2,95
Simplified,7,2,3,115
Simplified,7,2,4,135
Simplified,7,2,5,155
Simplified,7,2,6,175
Simplified,7,2,7,195
Simplified,7,2,8,215
Simplified,7,2,9,235
