Schema_Type,Name_Length,Name_Component_Length,Number_of_Publications,Schema_Size
Vans,6,3,12,904
Vans,6,3,13,992
Vans,6,3,14,1068
Vans,6,3,15,1150
Simplified,6,3,1,77
Simplified,6,3,2,123
Simplified,6,3,3,169
Simplified,6,3,4,215
Simplified,6,3,5,263
Simplified,6,3,6,309
Simplified,6,3,7,355
Simplified,6,3,8,401
Simplified,6,3,9,447
Simplified,6,3,10,493
Simplified,6,3,11,539
Simplified,6,3,12,597
Simplified,6,3,13,657
Simplified,6,3,14,717
Simplified,6,3,15,779
NC,6,3,1,50
NC,6,3,2,78
NC,6,3,3,106
NC,6,3,4,134
NC,6,3,5,162
NC,6,3,6,190
NC,6,3,7,218
NC,6,3,8,246
NC,6,3,9,276
NC,6,3,10,306
NC,6,3,11,334
NC,6,3,12,362
NC,6,3,13,390
NC,6,3,14,418
NC,6,3,15,446
Vans,6,4,1,118
Vans,6,4,2,196
Vans,6,4,3,276
Vans,6,4,4,354
Vans,6,4,5,432
Vans,6,4,6,510
Vans,6,4,7,588
Vans,6,4,8,666
Vans,6,4,9,752
Vans,6,4,10,842
Vans,6,4,11,932
Vans,6,4,12,1024
Vans,6,4,13,1116
Vans,6,4,14,1210
Vans,6,4,15,1302
Simplified,6,4,1,84
Simplified,6,4,2,137
Simplified,6,4,3,190
Simplified,6,4,4,243
Simplified,6,4,5,298
Simplified,6,4,6,351
Simplified,6,4,7,404
Simplified,6,4,8,457
Simplified,6,4,9,518
Simplified,6,4,10,585
Simplified,6,4,11,652
Simplified,6,4,12,719
Simplified,6,4,13,786
Simplified,6,4,14,855
Simplified,6,4,15,922
NC,6,4,1,56
NC,6,4,2,90
NC,6,4,3,124
NC,6,4,4,158
NC,6,4,5,192
NC,6,4,6,226
NC,6,4,7,262
NC,6,4,8,298
NC,6,4,9,332
NC,6,4,10,366
NC,6,4,11,400
NC,6,4,12,434
NC,6,4,13,468
NC,6,4,14,502
NC,6,4,15,536
Vans,6,5,1,125
Vans,6,5,2,210
Vans,6,5,3,297
Vans,6,5,4,382
Vans,6,5,5,467
Vans,6,5,6,552
Vans,6,5,7,641
Vans,6,5,8,738
Vans,6,5,9,837
Vans,6,5,10,936
Vans,6,5,11,1035
Vans,6,5,12,1134
Vans,6,5,13,1235
Vans,6,5,14,1334
Vans,6,5,15,1433
Simplified,6,5,1,91
Simplified,6,5,2,151
Simplified,6,5,3,211
Simplified,6,5,4,273
Simplified,6,5,5,333
Simplified,6,5,6,393
Simplified,6,5,7,455
Simplified,6,5,8,529
Simplified,6,5,9,603
Simplified,6,5,10,677
Simplified,6,5,11,751
Simplified,6,5,12,825
Simplified,6,5,13,901
Simplified,6,5,14,975
Simplified,6,5,15,1049
NC,6,5,1,62
NC,6,5,2,102
NC,6,5,3,142
NC,6,5,4,182
NC,6,5,5,222
NC,6,5,6,264
NC,6,5,7,306
NC,6,5,8,346
NC,6,5,9,386
NC,6,5,10,426
NC,6,5,11,466
NC,6,5,12,506
NC,6,5,13,546
NC,6,5,14,586
NC,6,5,15,626
Vans,6,6,1,132
Vans,6,6,2,224
Vans,6,6,3,318
Vans,6,6,4,410
Vans,6,6,5,502
Vans,6,6,6,598
Vans,6,6,7,704
Vans,6,6,8,810
Vans,6,6,9,916
Vans,6,6,10,1022
Vans,6,6,11,1128
Vans,6,6,12,1236
Vans,6,6,13,1342
Vans,6,6,14,1448
Vans,6,6,15,1554
Simplified,6,6,1,98
Simplified,6,6,2,165
Simplified,6,6,3,232
Simplified,6,6,4,301
Simplified,6,6,5,368
Simplified,6,6,6,439
Simplified,6,6,7,520
Simplified,6,6,8,601
Simplified,6,6,9,682
Simplified,6,6,10,763
Simplified,6,6,11,844
Simplified,6,6,12,927
Simplified,6,6,13,1008
Simplified,6,6,14,1089
Simplified,6,6,15,1170
NC,6,6,1,68
NC,6,6,2,114
NC,6,6,3,160
NC,6,6,4,206
NC,6,6,5,252
NC,6,6,6,302
NC,6,6,7,348
NC,6,6,8,394
NC,6,6,9,440
NC,6,6,10,486
NC,6,6,11,532
NC,6,6,12,578
NC,6,6,13,624
NC,6,6,14,670
NC,6,6,15,716
Vans,7,2,1,110
Vans,7,2,2,180
Vans,7,2,3,248
Vans,7,2,4,320
Vans,7,2,5,404
Vans,7,2,6,454
Vans,7,2,7,522
Vans,7,2,8,592
Vans,7,2,9,678
Vans,7,2,10,750
Vans,7,2,11,824
Vans,7,2,12,892
Vans,7,2,13,944
Vans,7,2,14,1042
Vans,7,2,15,Cannot determine
Simplified,7,2,1,75
Simplified,7,2,2,119
Simplified,7,2,3,163
Simplified,7,2,4,207
Simplified,7,2,5,251
Simplified,7,2,6,297
